root	leaf	logFC_root_leaf	PValue_root_leaf	FDR_root_leaf
AT1TE08055	0	0	0	1	1
AT1TE08060	2143.54324878073	2496.61871623457	-0.2086792178391	0.62021979547581	1
AT1TE08190	19.2465792402992	20.0857200242106	-0.0645703127777502	1	1
AT1TE08220	0	0	0	1	1
AT1TE08230	0	0	0	1	1
AT1TE08240	0	0	0	1	1
AT1TE08245	0	0	0	1	1
AT1TE08410	0	0	0	1	1
AT1TE08415	0	0	0	1	1
AT1TE08420	0	0	0	1	1
AT1TE08425	0	0	0	1	1
AT1TE08430	0	0	0	1	1
AT1TE08510	92.3871192291126	96.0621319840548	-0.0674459675988912	1	1
AT1TE08580	1386.04729378229	2221.33499309466	-0.674324385346483	0.027627484999155	1
AT1TE08660	0	0	0	1	1
AT1TE08670	0	0	0	1	1
AT1TE08710	53.6519686787102	54.2137030891334	-0.0557300373021796	1	1
AT1TE08830	0	0	0	1	1
AT1TE09080	0.501631819522116	1.09668462631161	-0.908407540824012	0.999999999999998	1
AT1TE09290	0	0	0	1	1
AT1TE09295	0	0	0	1	1
AT1TE09360	1923.23463710049	2596.2649363065	-0.437927473027004	0.246721718145587	1
AT1TE09365	0	8.73858249965568	-2.35098263591815	0.999999999999992	1
AT1TE09370	0	0	0	1	1
AT1TE09375	0	0	0	1	1
AT1TE09380	0	0	0	1	1
AT1TE09470	0	0	0	1	1
AT1TE09690	0	0	0	1	1
AT1TE09695	0	0	0	1	1
AT1TE09700	0	10.1763263273623	-2.34990270295886	1	1
AT1TE09705	0	0	0	1	1
AT1TE09820	4.09276865515684	4.47387534889287	-0.0566342477343534	1	1
AT1TE09960	0	8.00803718832951	-2.34990270283917	0.999999999999995	1
AT1TE09970	0	0	0	1	1
AT1TE09975	0	0	0	1	1
AT1TE09980	0	0	0	1	1
AT1TE10030	0	0	0	1	1
AT1TE10090	375.457957570141	212.929131181365	0.803169582641481	0.150570939215658	1
AT1TE10140	0	0	0	1	1
AT1TE10190	0	0	0	1	1
AT1TE10470	85.4933896854985	0	2.29434778003475	0.999999999999998	1
AT1TE10550	0	0	0	1	1
AT1TE10555	0	0	0	1	1
AT1TE10560	0	0	0	1	1
AT1TE10565	0	18.5619545509928	-3.20276808679744	0.502193659933942	1
AT1TE10570	24435.2026310149	24814.8694188646	-0.0193387941765467	0.888734663460477	1
AT1TE10600	0	29.6418877741624	-2.35098263572677	0.999999999999997	1
AT1TE10605	1874.12720844659	1202.7799495858	0.625430038565658	0.297274714971613	1
AT1TE10610	309.562469892289	847.976686688931	-1.43914233683713	0.0033623992291381	1
AT1TE10615	0	0	0	1	1
AT1TE10830	0	0	0	1	1
AT1TE10860	0	0	0	1	1
AT1TE10865	0	0	0	1	1
AT1TE10870	0	0	0	1	1
AT1TE10875	0	0	0	1	1
AT1TE10930	0	0	0	1	1
AT1TE10935	0	0	0	1	1
AT1TE10990	146.007408528345	185.912513815614	-0.369555205169054	1	1
AT1TE10995	0	0	0	1	1
AT1TE11000	312.482581105886	49.1146607644881	2.47369870315643	0.0740723804006968	1
AT1TE11020	591.951860523891	686.2619872289	-0.219281951969914	0.599607573095215	1
AT1TE11100	0	0	0	1	1
AT1TE11105	0	0	0	1	1
AT1TE11110	0	0	0	1	1
AT1TE11115	0	0	0	1	1
AT1TE11150	0	0	0	1	1
AT1TE11330	0	0	0	1	1
AT1TE11380	0	0	0	1	1
AT1TE11385	0	0	0	1	1
AT1TE11390	0	0	0	1	1
AT1TE11410	883.358046308091	793.967857356453	0.160893854728473	0.875757455263561	1
AT1TE11450	0	0	0	1	1
AT1TE11470	0	0	0	1	1
AT1TE11475	0	0	0	1	1
AT1TE11530	0	0	0	1	1
AT1TE11535	0	0	0	1	1
AT1TE11540	0	0	0	1	1
AT1TE11545	0	0	0	1	1
AT1TE11555	0	0	0	1	1
AT1TE11560	0	0	0	1	1
AT1TE11565	0	0	0	1	1
AT1TE11570	0	0	0	1	1
AT1TE11580	0	0	0	1	1
AT1TE11600	67.6431215094054	0	2.29434778004123	0.999999999999993	1
AT1TE11605	0	0	0	1	1
AT1TE11630	0	0	0	1	1
AT1TE11730	238.619747732546	79.5603694684685	1.31861622540584	0.627807310546779	1
AT1TE11810	8466.151918019	8811.61940542765	-0.0610037038104141	0.775601460990952	1
AT1TE11950	1385.45014797703	857.597697353059	0.689913377449955	0.0100605565902313	1
